pid,local_id,parent,mods_genre_ms,Title
harleyspiller:29385,16-17-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49299,16-17-3,info:fedora/harleyspiller:MetadataReview11,menus,Lung Fung
harleyspiller:29391,16-17-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49296,16-17-4,info:fedora/harleyspiller:MetadataReview11,menus,O-Mei
harleyspiller:29395,16-17-5,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49277,16-17-5,info:fedora/harleyspiller:MetadataReview11,menus,Palacio Beijing
harleyspiller:29413,16-17-6,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49274,16-17-6,info:fedora/harleyspiller:MetadataReview11,menus,Royal
harleyspiller:29448,16-17-7,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49236,16-17-7,info:fedora/harleyspiller:MetadataReview11,menus,Salon Capon
harleyspiller:29454,16-17-8,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49233,16-17-8,info:fedora/harleyspiller:MetadataReview11,menus,Salon China
harleyspiller:29445,16-17-9,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49268,16-17-9,info:fedora/harleyspiller:MetadataReview11,menus,Salón China
harleyspiller:29330,16-18-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49344,16-18-1,info:fedora/harleyspiller:MetadataReview11,menus,Aventino
harleyspiller:29382,16-18-10,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49350,16-18-10,info:fedora/harleyspiller:MetadataReview11,menus,Ho Kow
harleyspiller:29352,16-18-11,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
