local ID,Correct Document ID,person_name,Update_Person_Note_1,role,Update Role to ,Source Data from https://docs.google.com/spreadsheets/d/1FOGLzWUCnqeR9FoqH_sUAKdSa6-gG1Rc5ncKtoT5p4k/edit#gid=684112097,related_people_original
181.0,Carte_Turche_183,Saruhan Kadıları,delete,Addressee,,,
185.0,Carte_Turche_184,Emmanuel Negroponte,,,,,
183.0,Carte_Turche_184,Manisa Kadısı,delete,Addressee,,,
184.0,Carte_Turche_184,Yenifoça Kadısı,delete,Addressee,,,
186.0,Carte_Turche_187,Mandıkoğulları,delete,undetermined,,,
191.0,Carte_Turche_188,Eğriboz ol caniblerde havas-ı hümayunum yerlerin kadıları,delete,Addressee,,,
188.0,Carte_Turche_188,Eğriboz ol caniblerde havas-ı hümayunum yerlerin müfettişleri,delete,Addressee,,,
192.0,Carte_Turche_188,Golos ol caniblerde havas-ı hümayunum yerlerin kadıları,delete,Addressee,,,
189.0,Carte_Turche_188,Golos ol caniblerde havas-ı hümayunum yerlerin müfettişleri,delete,Addressee,,,
187.0,Carte_Turche_188,Leb-i deryada vaki olan sancakbeyleri,delete,Addressee,,,
193.0,Carte_Turche_188,Limni ol caniblerde havas-ı hümayunum yerlerin kadıları,delete,Addressee,,,
190.0,Carte_Turche_188,Limni ol caniblerde havas-ı hümayunum yerlerin müfettişleri,delete,undetermined,,,
196.0,Carte_Turche_189,Benili,,Mentioned,,,
194.0,Carte_Turche_189,Maliye tarafından hükm,delete,Sender,,,
195.0,Carte_Turche_189,Marti,,undetermined,,,
198.0,Carte_Turche_190,Derya yüzünde olan kapudanlar,delete,Addressee,,,
197.0,Carte_Turche_190,Mahall-i mezburda vaki olan kadılar,delete,Addressee,,,
200.0,Carte_Turche_190,Marki Benili,,,,,
199.0,Carte_Turche_190,Muhammed Paşa Kaymakam hazretleri canibinden,Muhammed Paşa - Kaymakam,Sender,,,
201.0,Carte_Turche_191,derya yüzünde olan Kapudanlar,delete,Addressee,,,
202.0,Carte_Turche_191,Muhammed Paşa Kapudan,,Sender,,,
203.0,Carte_Turche_193,Muhammed Paşa Kaymakam,Muhammed Paşa - Kaymakam,Sender,,,
204.0,Carte_Turche_195,Moton kadısı,delete,Addressee,,,
205.0,Carte_Turche_196,Kudüs Sancakbeyi,delete,Addressee,,,
